ParentNodePhylo	ParentNode	ChildNodePhylo	ChildNode	OGsWithGains	OGsWithLosses	TotalCopyGains	TotalCopyLosses
205->1	104	205	1	1	3299	2618	19654	13957
205->204	104	205	105	204	742	1545	1019	8388
204->2	105	204	2	2	4367	1655	14470	5335
204->203	105	204	106	203	424	1311	429	3281
203->55	106	203	107	55	833	533	870	1010
55->33	107	55	108	33	163	179	187	434
33->9	108	33	109	9	2682	1086	4895	2135
9->3	109	9	3	3	3883	1965	8183	2489
9->8	109	9	110	8	236	78	297	84
8->4	110	8	4	4	3559	940	6902	1245
8->7	110	8	111	7	615	518	752	703
7->5	111	7	5	5	2856	1081	5023	1332
7->6	111	7	6	6	2779	2355	4271	3218
33->32	108	33	112	32	2089	894	3165	2083
32->12	112	32	113	12	1845	969	2595	1214
12->10	113	12	7	10	2297	1693	3254	2071
12->11	113	12	8	11	2626	968	3442	1192
32->31	112	32	114	31	252	532	339	569
31->23	114	31	115	23	421	127	538	133
23->15	115	23	116	15	197	46	229	48
15->13	116	15	9	13	3102	1390	5573	1914
15->14	116	15	10	14	3881	1233	6688	1783
23->22	115	23	117	22	56	13	59	14
22->16	117	22	11	16	3362	1569	5335	2168
22->21	117	22	118	21	389	170	430	190
21->17	118	21	12	17	2911	1330	5633	1796
21->20	118	21	119	20	1129	366	1282	442
20->18	119	20	13	18	2732	1352	4177	2102
20->19	119	20	14	19	5101	1508	10087	1833
31->30	114	31	120	30	126	142	138	169
30->24	120	30	15	24	2905	1566	4674	2339
30->29	120	30	121	29	164	64	178	68
29->25	121	29	16	25	2473	2252	3875	3211
29->28	121	29	122	28	330	45	385	46
28->26	122	28	17	26	3624	1805	5451	2421
28->27	122	28	18	27	3774	1106	6913	1353
55->54	107	55	123	54	1978	466	2491	1229
54->34	123	54	19	34	4960	1103	9194	1612
54->53	123	54	124	53	905	456	1027	731
53->41	124	53	125	41	643	216	703	258
41->35	125	41	20	35	2786	1585	4326	1973
41->40	125	41	126	40	227	92	232	106
40->36	126	40	21	36	2380	1928	3552	2669
40->39	126	40	127	39	585	140	647	153
39->37	127	39	22	37	2341	1418	3433	1928
39->38	127	39	23	38	4793	741	9582	855
53->52	124	53	128	52	274	139	303	171
52->46	128	52	129	46	570	154	703	164
46->42	129	46	24	42	4622	1939	12152	2562
46->45	129	46	130	45	901	239	1158	257
45->43	130	45	25	43	2758	1090	5044	1245
45->44	130	45	26	44	2498	1223	3702	1688
52->51	128	52	131	51	1052	847	1195	1021
51->47	131	51	27	47	4290	919	12761	1086
51->50	131	51	132	50	111	107	117	115
50->48	132	50	28	48	1625	2226	2078	2995
50->49	132	50	29	49	1948	1384	2608	1847
203->202	106	203	133	202	65	356	65	396
202->56	133	202	30	56	5269	967	11206	2733
202->201	133	202	134	201	1	18	1	21
201->75	134	201	135	75	1654	858	1889	1889
75->57	135	75	31	57	3605	1676	6628	3047
75->74	135	75	136	74	1048	427	1248	1023
74->62	136	74	137	62	340	119	393	145
62->60	137	62	138	60	1655	753	2592	996
60->58	138	60	32	58	1230	837	1587	1107
