ParentNodePhylo	ParentNode	ChildNodePhylo	ChildNode	OGsExpanded	OGsContracted	NetCopyGains
205->1	104	205	1	1	3299	2618	5697
205->204	104	205	105	204	742	1545	-7369
204->2	105	204	2	2	4367	1655	9135
204->203	105	204	106	203	424	1311	-2852
203->55	106	203	107	55	833	533	-140
55->33	107	55	108	33	163	179	-247
33->9	108	33	109	9	2682	1086	2760
9->3	109	9	3	3	3883	1965	5694
9->8	109	9	110	8	236	78	213
8->4	110	8	4	4	3559	940	5657
8->7	110	8	111	7	615	518	49
7->5	111	7	5	5	2856	1081	3691
7->6	111	7	6	6	2779	2355	1053
33->32	108	33	112	32	2089	894	1082
32->12	112	32	113	12	1845	969	1381
12->10	113	12	7	10	2297	1693	1183
12->11	113	12	8	11	2626	968	2250
32->31	112	32	114	31	252	532	-230
31->23	114	31	115	23	421	127	405
23->15	115	23	116	15	197	46	181
15->13	116	15	9	13	3102	1390	3659
15->14	116	15	10	14	3881	1233	4905
23->22	115	23	117	22	56	13	45
22->16	117	22	11	16	3362	1569	3167
22->21	117	22	118	21	389	170	240
21->17	118	21	12	17	2911	1330	3837
21->20	118	21	119	20	1129	366	840
20->18	119	20	13	18	2732	1352	2075
20->19	119	20	14	19	5101	1508	8254
31->30	114	31	120	30	126	142	-31
30->24	120	30	15	24	2905	1566	2335
30->29	120	30	121	29	164	64	110
29->25	121	29	16	25	2473	2252	664
29->28	121	29	122	28	330	45	339
28->26	122	28	17	26	3624	1805	3030
28->27	122	28	18	27	3774	1106	5560
55->54	107	55	123	54	1978	466	1262
54->34	123	54	19	34	4960	1103	7582
54->53	123	54	124	53	905	456	296
53->41	124	53	125	41	643	216	445
41->35	125	41	20	35	2786	1585	2353
41->40	125	41	126	40	227	92	126
40->36	126	40	21	36	2380	1928	883
40->39	126	40	127	39	585	140	494
39->37	127	39	22	37	2341	1418	1505
39->38	127	39	23	38	4793	741	8727
53->52	124	53	128	52	274	139	132
52->46	128	52	129	46	570	154	539
46->42	129	46	24	42	4622	1939	9590
46->45	129	46	130	45	901	239	901
45->43	130	45	25	43	2758	1090	3799
45->44	130	45	26	44	2498	1223	2014
52->51	128	52	131	51	1052	847	174
51->47	131	51	27	47	4290	919	11675
51->50	131	51	132	50	111	107	2
50->48	132	50	28	48	1625	2226	-917
50->49	132	50	29	49	1948	1384	761
203->202	106	203	133	202	65	356	-331
202->56	133	202	30	56	5269	967	8473
202->201	133	202	134	201	1	18	-20
201->75	134	201	135	75	1654	858	0
75->57	135	75	31	57	3605	1676	3581
75->74	135	75	136	74	1048	427	225
74->62	136	74	137	62	340	119	248
62->60	137	62	138	60	1655	753	1596
60->58	138	60	32	58	1230	837	480
60->59	138	60	33	59	1825	615	2444
62->61	137	62	34	61	2887	903	4272
74->73	136	74	139	73	797	504	277
73->63	139	73	35	63	2938	1351	2730
73->72	139	73	140	72	394	550	-96
72->66	140	72	141	66	254	51	265
66->64	141	66	36	64	1907	1740	454
66->65	141	66	37	65	3939	787	11530
72->71	140	72	142	71	61	18	53
71->67	142	71	38	67	2193	843	2825
71->70	142	71	143	70	132	94	50
70->68	143	70	39	68	1878	1651	429
70->69	143	70	40	69	2191	811	2583
201->200	134	201	144	200	231	117	118
200->108	144	200	145	108	1008	477	857
108->76	145	108	41	76	2741	3416	-1411
108->107	145	108	146	107	196	42	234
107->85	146	107	147	85	1026	290	519
85->79	147	85	148	79	2761	638	4144
79->77	148	79	42	77	5180	783	13501
79->78	148	79	43	78	773	4667	-5470
85->84	147	85	149	84	1156	510	442
84->80	149	84	44	80	3717	1158	5269
84->83	149	84	150	83	663	462	334
83->81	150	83	45	81	5057	365	14024
83->82	150	83	46	82	1350	3933	-4186
107->106	146	107	151	106	1431	148	2254
106->86	151	106	47	86	3889	1312	4261
106->105	151	106	152	105	318	34	444
105->91	152	105	153	91	3091	671	3323
91->87	153	91	48	87	2044	1231	1711
91->90	153	91	154	90	275	78	299
90->88	154	90	49	88	1796	1107	1763
90->89	154	90	50	89	2165	932	2073
105->104	152	105	155	104	346	36	517
104->94	155	104	156	94	3647	470	8113
94->92	156	94	51	92	2157	1792	3067
94->93	156	94	52	93	5869	514	31213
104->103	155	104	157	103	1500	226	1543
103->95	157	103	53	95	4608	1275	7338
103->102	157	103	158	102	3029	511	5040
102->96	158	102	54	96	2484	1755	2566
102->101	158	102	159	101	1169	153	1541
101->97	159	101	55	97	3368	1360	4798
101->100	159	101	160	100	1816	525	2232
100->98	160	100	56	98	4145	817	9627
100->99	160	100	57	99	1721	1975	-175
200->199	144	200	161	199	21	42	-31
199->193	161	199	162	193	359	242	-99
193->189	162	193	163	189	6	24	-23
189->117	163	189	164	117	735	151	446
117->109	164	117	58	109	2362	3758	-1906
117->116	164	117	165	116	2740	762	2722
116->112	165	116	166	112	675	182	603
112->110	166	112	59	110	3754	827	5953
112->111	166	112	60	111	3192	1123	3886
116->115	165	116	167	115	890	228	846
115->113	167	115	61	113	2213	1366	2763
115->114	167	115	62	114	3663	916	4960
189->188	163	189	168	188	22	45	-35
188->120	168	188	169	120	1767	364	1507
120->118	169	120	63	118	4720	1080	8406
120->119	169	120	64	119	4640	985	8209
188->187	168	188	170	187	685	258	248
187->173	170	187	171	173	1763	521	1164
173->121	171	173	65	121	2374	3044	-55
173->172	171	173	172	172	290	340	-41
172->122	172	172	66	122	3644	1345	4663
172->171	172	172	173	171	19	31	-14
171->123	173	171	67	123	4033	1296	5289
171->170	173	171	174	170	543	316	504
170->124	174	170	68	124	4370	1523	6840
170->169	174	170	175	169	110	41	89
169->127	175	169	176	127	2560	611	2949
127->125	176	127	69	125	5654	633	16583
127->126	176	127	70	126	3346	1486	5034
169->168	175	169	177	168	389	92	338
168->162	177	168	178	162	356	127	271
162->130	178	162	179	130	1360	824	495
130->128	179	130	71	128	4113	1242	6254
130->129	179	130	72	129	2164	2280	-110
162->161	178	162	180	161	2852	1054	2736
161->137	180	161	181	137	2094	510	1972
137->131	181	137	73	131	3228	1846	3485
137->136	181	137	182	136	939	236	835
136->132	182	136	74	132	2922	2286	1538
136->135	182	136	183	135	1131	165	1215
135->133	183	135	75	133	4611	1532	6562
135->134	183	135	76	134	3900	1016	5411
161->160	180	161	184	160	0	0	0
160->156	184	160	185	156	68	18	54
156->138	185	156	77	138	5330	1029	12213
156->155	185	156	186	155	0	0	0
155->141	186	155	187	141	155	6	154
141->139	187	141	78	139	4683	1386	6803
141->140	187	141	79	140	3978	1722	6602
155->154	186	155	188	154	2121	772	2006
154->142	188	154	80	142	2467	2267	794
154->153	188	154	189	153	179	19	238
153->145	189	153	190	145	1518	1253	795
145->143	190	145	81	143	2453	1609	1976
145->144	190	145	82	144	3035	1331	3601
153->152	189	153	191	152	2959	352	4721
152->146	191	152	83	146	2610	1628	2844
152->151	191	152	192	151	204	1	228
151->147	192	151	84	147	4320	1485	5215
151->150	192	151	193	150	1966	1062	1839
150->148	193	150	85	148	1898	1146	1311
150->149	193	150	86	149	3016	1017	3179
160->159	184	160	194	159	2053	2074	518
159->157	194	159	87	157	1800	916	1601
159->158	194	159	88	158	1636	1217	1468
168->167	177	168	195	167	2338	956	2285
167->163	195	167	89	163	3085	1955	2472
167->166	195	167	196	166	0	0	0
166->164	196	166	90	164	2836	1972	1650
166->165	196	166	91	165	3791	1276	5865
187->186	170	187	197	186	2261	736	2541
186->178	197	186	198	178	484	324	305
178->174	198	178	92	174	3669	1679	5293
178->177	198	178	199	177	777	543	162
177->175	199	177	93	175	4070	1266	5780
177->176	199	177	94	176	2623	1671	1721
186->185	197	186	200	185	2283	434	2641
185->179	200	185	95	179	1786	1051	1648
185->184	200	185	201	184	880	476	762
184->180	201	184	96	180	1554	692	2304
184->183	201	184	202	183	629	651	202
183->181	202	183	97	181	1441	1107	1315
183->182	202	183	98	182	1425	651	1738
193->192	162	193	203	192	3148	699	3535
192->190	203	192	99	190	2172	1186	3229
192->191	203	192	100	191	2405	715	2759
199->198	161	199	204	198	2939	633	2751
198->194	204	198	101	194	9167	431	28307
198->197	204	198	205	197	1137	886	11
197->195	205	197	102	195	2072	2583	412
197->196	205	197	103	196	3510	884	4310
