Phylo	Badirate
1	N111	N7
2	N110	N8
3	N109	N9
4	N113	N12
5	N116	N15
6	N119	N20
7	N118	N21
8	N117	N22
9	N115	N23
10	N122	N28
11	N121	N29
12	N120	N30
13	N114	N31
14	N112	N32
15	N108	N33
16	N127	N39
17	N126	N40
18	N125	N41
19	N130	N45
20	N129	N46
21	N132	N50
22	N131	N51
23	N128	N52
24	N124	N53
25	N123	N54
26	N107	N55
27	N138	N60
28	N137	N62
29	N141	N66
30	N143	N70
31	N142	N71
32	N140	N72
33	N139	N73
34	N136	N74
35	N135	N75
36	N148	N79
37	N150	N83
38	N149	N84
39	N147	N85
40	N154	N90
41	N153	N91
42	N156	N94
43	N160	N100
44	N159	N101
45	N158	N102
46	N157	N103
47	N155	N104
48	N152	N105
49	N151	N106
50	N146	N107
51	N145	N108
52	N166	N112
53	N167	N115
54	N165	N116
55	N164	N117
56	N169	N120
57	N176	N127
58	N179	N130
59	N183	N135
60	N182	N136
61	N181	N137
62	N187	N141
63	N190	N145
64	N193	N150
65	N192	N151
66	N191	N152
67	N189	N153
68	N188	N154
69	N186	N155
70	N185	N156
71	N194	N159
72	N184	N160
73	N180	N161
74	N178	N162
75	N196	N166
76	N195	N167
77	N177	N168
78	N175	N169
79	N174	N170
80	N173	N171
81	N172	N172
82	N171	N173
83	N199	N177
84	N198	N178
85	N202	N183
86	N201	N184
87	N200	N185
88	N197	N186
89	N170	N187
90	N168	N188
91	N163	N189
92	N203	N192
93	N162	N193
94	N205	N197
95	N204	N198
96	N161	N199
97	N144	N200
98	N134	N201
99	N133	N202
100	N106	N203
101	N105	N204
102	N104	N205
