G0	D0	L0	G1	D1	L1
OG0000035	156.4273951	5.6427838	140.8815032	276.7784941	11.6604559	268.8382896
OG0000045	9879.1010034	374.2707573	8695.5572621	10.3619971	0.5652434	10.4805555
OG0000046	128.5818945	4.7453819	108.3528865	10.3492993	0.539936	9.1939103
OG0000047	163.5472783	6.8423937	147.1114636	11.0887694	0.6204266	10.7799124
OG0000057	129.3490092	5.733559	97.2793838	14.0217866	0.7962367	10.881902
OG0000064	30.5338345	1.6081332	30.9565633	11.2303129	0.7452134	10.3243107
OG0000068	285.5922013	12.0964902	236.6879915	4.2772532	0.269793	3.4173779
OG0000073	188.2328245	12.3195422	179.0440138	7.4966329	0.5212146	7.6734369
OG0000075	12.1576706	0.6007416	7.6794799	6.3459972	0.4414302	5.7416577
OG0000077	23.3271831	1.379301	18.3906803	7.9226171	0.5285447	6.0782646
OG0000086	73.6387885	4.1501512	64.1198361	47.460869	3.4295884	42.0362742
OG0000087	48.6978347	3.1704947	43.2772533	5.4680405	0.2843695	4.2240715
OG0000090	140.0128407	7.5499221	121.6795779	733.1420323	55.0411912	663.9343693
OG0000094	9.0624873	0.4494024	8.8382467	2.8986775	0.1284833	1.5146558
OG0000097	199.1730358	10.2934225	147.5390561	7.2778073	0.6021185	5.5946845
OG0000103	35.3476718	2.6190594	30.4683909	6.468427	0.5547844	6.6728241
OG0000105	18.7521274	1.2187385	15.5998531	5.3406355	0.3305748	3.686827
OG0000106	48.6410517	3.1038861	49.144864	175.3987456	14.5972364	143.134012
OG0000109	10.307946	0.8583953	7.7112509	3.8932413	0.1946884	2.015836
OG0000111	35.2534493	2.4780831	28.2501471	6.7330765	0.4731133	4.737892
OG0000112	167.2478196	10.58042	157.6482584	13.0685739	1.1081146	11.8506702
OG0000119	55.4668197	3.7365569	47.080617	5.10033	0.5360195	5.6505389
OG0000121	37.5486643	2.4862389	37.2935838	14.8182485	1.4119848	14.9631169
OG0000122	15.1127015	0.8025225	9.576768	6.1609363	0.5462565	6.6688811
OG0000123	227.1458378	23.2517381	177.8757967	5.2807232	0.4042457	4.5505713
OG0000124	69.2680402	3.919676	49.583901	1087.2863436	102.8646146	963.6414244
OG0000125	119.8297255	7.5536351	114.941147	3.9951009	0.3078501	2.249505
OG0000127	135.1629438	13.9688586	118.0368555	6.4404495	0.5800595	5.6193261
OG0000128	4443.5272349	333.2767926	4288.1613981	6.570464	0.5622189	6.9418423
OG0000129	100.9451109	5.5569046	81.0381922	7.4244156	0.6696915	5.0087341
OG0000130	10.8107881	0.5941203	8.1196441	4.1753743	0.3102817	3.2819943
OG0000131	101.7842688	7.0076239	88.88003	6.7240283	0.600733	6.9459751
OG0000132	220.1284785	11.4433744	176.4186893	2.6928356	0.170179	1.8705265
OG0000134	4583.5443633	341.4505754	3329.1431104	4.9532765	0.4878658	4.6719926
OG0000135	23.1924357	1.5059017	20.5806566	5.0686564	0.4278426	4.623077
OG0000138	43.898395	2.865905	40.8869111	2.7744379	0.3822934	3.9662938
OG0000140	6360.4974537	429.602954	5706.5592394	1997.4727732	178.6509029	1772.8620846
OG0000144	83269.9719798	6039.5271901	76903.3128867	5.3408542	0.5520688	5.8350608
OG0000145	134.956325	11.0509598	128.743682	4.413983	0.311653	3.2328514
OG0000146	324.4361425	25.3164041	313.0795306	5.1831659	0.560659	5.9959366
OG0000148	77.7892308	4.9065137	72.0439757	4.4179439	0.5574311	4.4555779
OG0000150	142.7309245	11.073679	117.7501204	79.8890085	7.6772313	68.6685686
OG0000151	66.0221627	4.1354658	62.1796825	1.2774977	0.4459072	3.2105317
OG0000153	83.752162	7.0112476	81.9147423	4.4381044	0.3887975	3.7880752
