cog_id	Term	Category
J	Translation, ribosomal structure and biogenesis	Information storage and processing
A	RNA processing and modification	Information storage and processing
K	Transcription	Information storage and processing
L	Replication, recombination and repair	Information storage and processing
B	Chromatin structure and dynamics	Information storage and processing
D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
Y	Nuclear structure	Cellular processes and signaling
V	Defense mechanisms	Cellular processes and signaling
T	Signal transduction mechanisms	Cellular processes and signaling
M	Cell wall/membrane/envelope biogenesis	Cellular processes and signaling
N	Cell motility	Cellular processes and signaling
Z	Cytoskeleton	Cellular processes and signaling
W	Extracellular structures	Cellular processes and signaling
U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
C	Energy production and conversion	Metabolism
G	Carbohydrate transport and metabolism	Metabolism
E	Amino acid transport and metabolism	Metabolism
F	Nucleotide transport and metabolism	Metabolism
H	Coenzyme transport and metabolism	Metabolism
I	Lipid transport and metabolism	Metabolism
P	Inorganic ion transport and metabolism	Metabolism
Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
R	General function prediction only	Poorly characterized
S	Function unknown	Poorly characterized
