sp	habitat
OG0000681	LGIG1	Marine
OG0001153	SBRO1	Marine
OG0001646	PPAC1	NonMarine
OG0002676	CTEL1	Marine
OG0003591	OSIN1	Marine
OG0004791	AIMM1	NonMarine
OG0004947	TLIN1	Marine
OG0005095	CTEL1	Marine
OG0006505	BPLI1	Marine
OG0006596	BPLI1	Marine
OG0006930	CTEL1	Marine
OG0006932	BPLI1	Marine
OG0007066	CRVI1	Marine
OG0007314	PFUC1	Marine
OG0007369	MMAR1	NonMarine
OG0007539	DROS1	NonMarine
OG0007600	BPLI1	Marine
OG0007875	PHOY1	Marine
OG0007937	CTEL1	Marine
OG0007938	LGIG1	Marine
OG0007939	MMAR1	NonMarine
OG0008074	MMAR1	NonMarine
OG0008113	CTEL1	Marine
OG0008114	NTUM1	Marine
OG0008211	ECHL1	Marine
OG0008250	CTEL1	Marine
OG0008336	CTEL1	Marine
OG0008375	DROS1	NonMarine
OG0008377	PFUC1	Marine
OG0008436	LGIG1	Marine
OG0008440	BPLI1	Marine
OG0008442	BPLI1	Marine
OG0008479	PELE1	NonMarine
OG0008482	CTEL1	Marine
OG0008516	BPLI1	Marine
OG0008545	BPLI1	Marine
OG0008546	HBRA1	Marine
OG0008547	MCOR1	Marine
OG0008663	AENT2	Marine
OG0008666	BPLI1	Marine
OG0008667	BPLI1	Marine
OG0008704	LMAX1	NonMarine
OG0008710	CTEL1	Marine
OG0008758	MCOR1	Marine
OG0008782	IPYG1	Marine
OG0008824	MCOR1	Marine
OG0008825	MCOR1	Marine
OG0008867	GAEG1	Marine
OG0008869	BPLI1	Marine
OG0008870	MMAR1	NonMarine
OG0008919	LMAX1	NonMarine
OG0008920	MFRU1	NonMarine
OG0008921	MFRU1	NonMarine
OG0008957	AENT2	Marine
OG0008961	SVEN1	Marine
OG0008962	TLIN1	Marine
OG0009001	BPLI1	Marine
OG0009007	CTEL1	Marine
OG0009008	MBIL1	NonMarine
OG0009009	MCOR1	Marine
OG0009010	MCOR1	Marine
OG0009081	BPLI1	Marine
OG0009085	DROS1	NonMarine
OG0009134	BPLI1	Marine
OG0009177	LGIG1	Marine
OG0009214	GAEG1	Marine
OG0009222	TLIN1	Marine
OG0009268	DROS1	NonMarine
OG0009302	AIMM1	NonMarine
OG0009311	CRVI1	Marine
OG0009313	CTEL1	Marine
OG0009314	PFUC1	Marine
OG0009352	MCOR1	Marine
OG0009402	BPLI1	Marine
OG0009406	CTEL1	Marine
OG0009407	GAEG1	Marine
OG0009409	MMAR1	NonMarine
OG0009448	BPLI1	Marine
OG0009449	NMIR1	Marine
OG0009455	MCOR1	Marine
OG0009457	TLIN1	Marine
OG0009458	TLIN1	Marine
OG0009504	CRAD1	Marine
OG0009507	MFRU1	NonMarine
OG0009508	TLIN1	Marine
OG0009547	BPLI1	Marine
OG0009552	LMAX1	NonMarine
OG0009585	GAEG1	Marine
OG0009588	BPLI1	Marine
OG0009589	BPLI1	Marine
OG0009590	BPLI1	Marine
OG0009593	HBRA1	Marine
OG0009635	CTEL1	Marine
OG0009637	NMIR1	Marine
OG0009677	BPLI1	Marine
OG0009678	BPLI1	Marine
OG0009679	BPLI1	Marine
OG0009681	BPLI1	Marine
OG0009684	CGIG1	Marine
OG0009687	GAEG1	Marine
OG0009688	LSTA1	NonMarine
OG0009689	LSTA1	NonMarine
OG0009690	NMIR1	Marine
OG0009691	SCON1	Marine
OG0009722	ADUX1	Marine
OG0009723	AENT2	Marine
OG0009736	BPLI1	Marine
OG0009747	MMAR1	NonMarine
OG0009748	ABIP1	NonMarine
OG0009796	LGIG1	Marine
OG0009797	MCOR1	Marine
OG0009798	PFUC1	Marine
OG0009834	AIMM1	NonMarine
OG0009838	CTEL1	Marine
OG0009902	NTUM1	Marine
OG0009907	BPLI1	Marine
OG0009908	BPLI1	Marine
OG0009911	GPEL1	Marine
OG0009912	MMAR1	NonMarine
OG0009913	TLIN1	Marine
OG0009977	MSWE1	Marine
OG0009978	GAEG1	Marine
OG0009983	BPLI1	Marine
OG0009984	BPLI1	Marine
OG0009989	CPLI1	NonMarine
OG0009991	CTEL1	Marine
OG0009992	MFRU1	NonMarine
OG0009994	TLIN1	Marine
OG0010068	BPLI1	Marine
OG0010073	COLI1	Marine
OG0010074	CRAD1	Marine
OG0010075	ECHL1	Marine
OG0010076	LSTA1	NonMarine
OG0010077	MCOR1	Marine
OG0010078	MCOR1	Marine
OG0010079	MMAR1	NonMarine
OG0010081	ABIP1	NonMarine
OG0010082	ABIP1	NonMarine
OG0010142	MSCH1	Marine
OG0010144	CCAL1	Marine
OG0010148	BPLA1	Marine
OG0010151	BPLI1	Marine
OG0010154	COLI1	Marine
OG0010156	CTEL1	Marine
OG0010160	MCOR1	Marine
OG0010161	MCOR1	Marine
OG0010163	MFRU1	NonMarine
OG0010164	MFRU1	NonMarine
OG0010165	MMAR1	NonMarine
OG0010214	BPLI1	Marine
OG0010216	CASP1	NonMarine
OG0010221	DROS1	NonMarine
OG0010224	MCOR1	Marine
OG0010225	MCOR1	Marine
OG0010226	MCOR1	Marine
OG0010228	PFUC1	Marine
OG0010279	BPLI1	Marine
OG0010280	BPLI1	Marine
OG0010281	BPLI1	Marine
OG0010286	PFUC1	Marine
OG0010360	CPLI1	NonMarine
OG0010361	BPLA1	Marine
OG0010369	CPLI1	NonMarine
OG0010372	CTEL1	Marine
OG0010373	DROS1	NonMarine
OG0010375	HBRA1	Marine
OG0010377	MFRU1	NonMarine
OG0010378	MMAR1	NonMarine
OG0010379	MSWE1	Marine
OG0010380	TLIN1	Marine
OG0010443	BPLI1	Marine
OG0010444	BPLI1	Marine
OG0010445	BPLI1	Marine
OG0010446	BPLI1	Marine
OG0010447	BPLI1	Marine
OG0010454	MCOR1	Marine
OG0010462	TLIN1	Marine
OG0010518	MFOD1	Marine
OG0010521	BGLA1	NonMarine
OG0010524	BPLI1	Marine
OG0010525	BPLI1	Marine
OG0010527	BPLI1	Marine
OG0010537	MCOR1	Marine
OG0010538	MCOR1	Marine
OG0010539	SGLO1	Marine
OG0010615	BPLI1	Marine
OG0010616	BPLI1	Marine
OG0010618	BPLI1	Marine
OG0010630	LSTA1	NonMarine
OG0010634	TLIN1	Marine
OG0010674	ADUX1	Marine
OG0010700	BPLI1	Marine
OG0010701	BPLI1	Marine
OG0010702	BPLI1	Marine
OG0010703	BPLI1	Marine
OG0010707	TLIN1	Marine
OG0010717	DROS1	NonMarine
OG0010718	ENTR1	Marine
OG0010721	LGIG1	Marine
OG0010722	LMAX1	NonMarine
OG0010723	MCOR1	Marine
OG0010778	SSUL1	Marine
OG0010797	CTEL1	Marine
OG0010798	CTEL1	Marine
OG0010799	CTEL1	Marine
OG0010801	DROS1	NonMarine
OG0010803	MCOR1	Marine
OG0010804	MMAR1	NonMarine
OG0010871	GPEL1	Marine
OG0010873	MBIL1	NonMarine
OG0010877	BPLI1	Marine
OG0010878	BPLI1	Marine
OG0010879	BPLI1	Marine
OG0010880	BPLI1	Marine
OG0010881	BPLI1	Marine
OG0010882	BPLI1	Marine
OG0010900	CTEL1	Marine
OG0010903	MMAR1	NonMarine
OG0010904	MMAR1	NonMarine
OG0010905	PFUC1	Marine
OG0010986	BPLI1	Marine
OG0010987	BPLI1	Marine
OG0010988	BPLI1	Marine
OG0010994	CTEL1	Marine
OG0010996	GTOL1	Marine
OG0010999	MCOR1	Marine
OG0011000	MMAR1	NonMarine
OG0011001	MMAR1	NonMarine
OG0011002	PFUC1	Marine
OG0011004	TLIM1	Marine
OG0011005	TLIN1	Marine
