OG	cog_id	Term	Category
OG0000000	S	Function unknown	Poorly characterized
OG0000001	L	Replication, recombination and repair	Information storage and processing
OG0000002	S	Function unknown	Poorly characterized
OG0000003	Z	Cytoskeleton	Cellular processes and signaling
OG0000004	S	Function unknown	Poorly characterized
OG0000005	L	Replication, recombination and repair	Information storage and processing
OG0000006	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000007	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000007	V	Defense mechanisms	Cellular processes and signaling
OG0000008	G	Carbohydrate transport and metabolism	Metabolism
OG0000009	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000010	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000011	L	Replication, recombination and repair	Information storage and processing
OG0000012	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000013	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000014	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000015	S	Function unknown	Poorly characterized
OG0000016	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000017	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000018	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000019	S	Function unknown	Poorly characterized
OG0000020	K	Transcription	Information storage and processing
OG0000021	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000022	W	Extracellular structures	Cellular processes and signaling
OG0000023	S	Function unknown	Poorly characterized
OG0000024	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000025	S	Function unknown	Poorly characterized
OG0000026	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000027	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000028	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000029	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000030	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000031	G	Carbohydrate transport and metabolism	Metabolism
OG0000032	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000033	S	Function unknown	Poorly characterized
OG0000034	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000035	Z	Cytoskeleton	Cellular processes and signaling
OG0000036	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000037	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000038	S	Function unknown	Poorly characterized
OG0000039	S	Function unknown	Poorly characterized
OG0000040	I	Lipid transport and metabolism	Metabolism
OG0000041	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000042	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000043	E	Amino acid transport and metabolism	Metabolism
OG0000043	P	Inorganic ion transport and metabolism	Metabolism
OG0000043	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000044	S	Function unknown	Poorly characterized
